id,Name,Url,Loaded,ExpensiveLevel,Category,Claimed,HasWebsite,Stars,Reviews,Photos,MenuCount,MenuStartsCount,MenuReviewsCount,MenuPhotosCount,Attributes Has,AttributesCount,QuestionsCount,OpenHour1,EndHour1,OpenHour2,EndHour2,OpenHour3,EndHour3,OpenHour4,EndHour4,OpenHour5,EndHour5,OpenHour6,EndHour6,OpenHour7,EndHour7
56,,/biz/elementary-coffee-adelaide?hrid=zimgl9ylpBmmff39m8cnAg&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,/biz/the-coffee-pot-adelaide?hrid=E6OPBgKlg1LsLueZJgcv-g&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,/biz/etica-ethical-pizzeria-and-mozzarella-bar-adelaide-2?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,/biz/ballaboosta-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,/biz/jasmin-indian-restaurant-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,/biz/mrs-q-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,/biz/pizza-e-mozzarella-bar-adelaide?hrid=AgfFPqObxR7BX3W5wmrEBw&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,/biz/schnithouse-adelaide-3?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,/biz/ruby-red-flamingo-north-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,/biz/nagomi-japanese-kitchen-adelaide?hrid=qaVARe2F-GkXR9OG_eS2Qg&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,/biz/nishiki-cafe-and-izakaya-adelaide?hrid=0X9l6ccRuoUd4miSiUw9Lg&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,/biz/food-for-thought-adelaide-adelaide-2?hrid=N2xVdvzbPLHiWNY0MxYouQ&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,/biz/peel-st-adelaide-2?hrid=Ud3-ExNa71EjnrM4oKOevQ&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,/biz/golden-boy-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,/biz/mei-wei-asian-cuisine-adelaide?hrid=U1Lh5ncwNJJhMyBLm6v5rQ&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,/biz/a-hereford-beefstouw-adelaide,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,/biz/oporto-adelaide-2?hrid=6aExnQdcn0_SZ5ggtymFvg&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,/biz/wang-derful-restaurant-adelaide?hrid=y_pWH6Yf6BlEXyTFgg1aqg&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,/biz/chick-chick-boom-adelaide?hrid=edD6WkTnyD8iQtZw61IehA&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,/biz/borsch-cafe-adelaide?hrid=SBqQ9Qh78NzPGZ7hSN5UXg&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,/biz/ky-chow-adelaide-2?hrid=L3iOD8LI3MpFZVrd8rSMlA&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,/biz/andres-cucina-and-polenta-bar-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,/biz/four-seeds-adelaide?hrid=hQLw-wQOIi0O6jC-xws2Jg&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,/biz/the-gallery-adelaide?hrid=bBMGSGGF6pU9FjcNWQLJvw&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,/biz/le-riad-restaurant-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,/biz/hot-and-spicy-kitchen-adelaide?hrid=MSTY5tINqjrVRjTR2a-kGw&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,/biz/bai-long-store-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,/biz/peter-rabbit-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,/biz/the-elephant-adelaide-2?hrid=PkGU7bLjoGZh5kHcPv0IfA&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,/biz/nanna-hot-bake-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,/biz/exchange-specialty-coffee-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,/biz/hotaru-japanese-restaurant-adelaide-3?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,/biz/etica-ethical-pizzeria-and-mozzarella-bar-adelaide-2?hrid=5nrTd192K5UbRVyzCsqQKg&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,/biz/five-feet-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,/biz/jarmers-kitchen-bowden?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,/biz/orana-adelaide-2?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,/biz/tomodachi-no-title?hrid=_IOJaFg9DxeLFqJayG1hIQ&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,/biz/bb-steak-house-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,/biz/the-spot-on-melbourne-north-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,/biz/adelaide-casino-adelaide?hrid=qVlmTfdrPJ1FTfqYFvRpWg&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,/biz/gyoza-gyoza-adelaide?hrid=7z44gziqNWnji6VerkBisQ&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,/biz/mama-jambo-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,/biz/press-food-and-wine-adelaide?hrid=JClKFC3gDmhGYArWv_fr8w&osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,/biz/borsa-pasta-cucina-adelaide?osq=Restaurants,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
